CustomerID,CustomerName,AgeGroup,Gender,Occupation,IncomeBand,RiskScore
C00001,Customer 1,18-25,Male,Business,>20L,754
C00002,Customer 2,50+,Male,Business,5L-10L,694
C00003,Customer 3,26-35,Male,Professional,>20L,425
C00004,Customer 4,26-35,Female,Retired,<5L,552
C00005,Customer 5,18-25,Female,Professional,10L-20L,316
C00006,Customer 6,50+,Male,Business,<5L,675
C00007,Customer 7,18-25,Male,Retired,5L-10L,792
C00008,Customer 8,18-25,Male,Salaried,5L-10L,487
C00009,Customer 9,36-50,Female,Salaried,>20L,386
C00010,Customer 10,36-50,Male,Professional,10L-20L,841
C00011,Customer 11,50+,Female,Retired,5L-10L,810
C00012,Customer 12,18-25,Male,Professional,<5L,677
C00013,Customer 13,36-50,Female,Retired,<5L,816
C00014,Customer 14,36-50,Female,Retired,>20L,572
C00015,Customer 15,26-35,Male,Retired,<5L,461
C00016,Customer 16,18-25,Female,Professional,<5L,763
C00017,Customer 17,50+,Female,Retired,5L-10L,560
C00018,Customer 18,26-35,Male,Salaried,10L-20L,513
C00019,Customer 19,36-50,Female,Professional,10L-20L,373
C00020,Customer 20,36-50,Female,Business,5L-10L,645
C00021,Customer 21,50+,Male,Professional,<5L,428
C00022,Customer 22,26-35,Male,Business,<5L,412
C00023,Customer 23,26-35,Female,Professional,>20L,814
C00024,Customer 24,50+,Male,Business,10L-20L,670
C00025,Customer 25,36-50,Female,Retired,5L-10L,457
C00026,Customer 26,50+,Female,Professional,<5L,475
C00027,Customer 27,18-25,Male,Retired,10L-20L,384
C00028,Customer 28,26-35,Female,Business,10L-20L,595
C00029,Customer 29,50+,Female,Professional,>20L,494
C00030,Customer 30,36-50,Male,Business,10L-20L,725
C00031,Customer 31,36-50,Male,Business,>20L,859
C00032,Customer 32,18-25,Female,Business,10L-20L,316
C00033,Customer 33,18-25,Male,Business,5L-10L,640
C00034,Customer 34,18-25,Female,Salaried,>20L,600
C00035,Customer 35,18-25,Male,Professional,<5L,593
C00036,Customer 36,36-50,Male,Business,>20L,862
C00037,Customer 37,26-35,Female,Retired,<5L,764
C00038,Customer 38,18-25,Male,Retired,10L-20L,539
C00039,Customer 39,26-35,Female,Retired,<5L,516
C00040,Customer 40,36-50,Female,Business,10L-20L,349
C00041,Customer 41,26-35,Male,Retired,>20L,483
C00042,Customer 42,50+,Male,Professional,5L-10L,374
C00043,Customer 43,36-50,Female,Salaried,<5L,351
C00044,Customer 44,26-35,Male,Salaried,>20L,642
C00045,Customer 45,26-35,Female,Professional,10L-20L,325
C00046,Customer 46,18-25,Female,Professional,<5L,735
C00047,Customer 47,18-25,Female,Retired,<5L,360
C00048,Customer 48,36-50,Female,Salaried,10L-20L,595
C00049,Customer 49,36-50,Male,Business,10L-20L,791
C00050,Customer 50,18-25,Male,Salaried,<5L,432
C00051,Customer 51,50+,Male,Salaried,5L-10L,332
C00052,Customer 52,18-25,Female,Professional,<5L,420
C00053,Customer 53,18-25,Female,Retired,>20L,455
C00054,Customer 54,50+,Female,Retired,10L-20L,662
C00055,Customer 55,18-25,Male,Business,>20L,886
C00056,Customer 56,50+,Male,Salaried,>20L,635
C00057,Customer 57,36-50,Female,Professional,10L-20L,744
C00058,Customer 58,18-25,Male,Professional,10L-20L,780
C00059,Customer 59,26-35,Female,Retired,10L-20L,747
C00060,Customer 60,18-25,Male,Professional,<5L,462
C00061,Customer 61,26-35,Female,Professional,10L-20L,391
C00062,Customer 62,50+,Male,Salaried,10L-20L,756
C00063,Customer 63,26-35,Female,Business,<5L,663
C00064,Customer 64,26-35,Female,Professional,5L-10L,887
C00065,Customer 65,50+,Male,Retired,10L-20L,564
C00066,Customer 66,26-35,Female,Retired,10L-20L,303
C00067,Customer 67,36-50,Male,Business,<5L,811
C00068,Customer 68,36-50,Female,Retired,>20L,655
C00069,Customer 69,26-35,Female,Business,<5L,678
C00070,Customer 70,36-50,Male,Professional,5L-10L,670
C00071,Customer 71,36-50,Female,Business,<5L,407
C00072,Customer 72,36-50,Female,Salaried,>20L,790
C00073,Customer 73,18-25,Female,Business,5L-10L,409
C00074,Customer 74,50+,Male,Retired,<5L,445
C00075,Customer 75,26-35,Male,Retired,5L-10L,675
C00076,Customer 76,26-35,Male,Salaried,<5L,371
C00077,Customer 77,50+,Male,Salaried,5L-10L,537
C00078,Customer 78,26-35,Male,Professional,>20L,705
C00079,Customer 79,26-35,Female,Salaried,5L-10L,402
C00080,Customer 80,36-50,Male,Professional,10L-20L,839
C00081,Customer 81,18-25,Male,Retired,>20L,388
C00082,Customer 82,26-35,Male,Retired,>20L,510
C00083,Customer 83,18-25,Male,Salaried,10L-20L,618
C00084,Customer 84,18-25,Male,Retired,5L-10L,556
C00085,Customer 85,26-35,Male,Retired,<5L,558
C00086,Customer 86,18-25,Male,Business,5L-10L,573
C00087,Customer 87,50+,Female,Professional,>20L,690
C00088,Customer 88,36-50,Female,Business,<5L,549
C00089,Customer 89,36-50,Female,Retired,>20L,690
C00090,Customer 90,26-35,Female,Business,<5L,307
C00091,Customer 91,50+,Female,Salaried,<5L,818
C00092,Customer 92,26-35,Female,Salaried,<5L,321
C00093,Customer 93,50+,Female,Professional,10L-20L,866
C00094,Customer 94,36-50,Male,Retired,>20L,526
C00095,Customer 95,18-25,Male,Retired,<5L,392
C00096,Customer 96,26-35,Male,Salaried,10L-20L,547
C00097,Customer 97,36-50,Female,Retired,>20L,368
C00098,Customer 98,36-50,Male,Retired,10L-20L,386
C00099,Customer 99,26-35,Female,Business,>20L,669
C00100,Customer 100,50+,Male,Retired,>20L,441
C00101,Customer 101,26-35,Male,Retired,<5L,885
C00102,Customer 102,50+,Male,Business,>20L,560
C00103,Customer 103,26-35,Male,Professional,<5L,782
C00104,Customer 104,50+,Male,Retired,10L-20L,827
C00105,Customer 105,50+,Female,Salaried,<5L,768
C00106,Customer 106,18-25,Male,Business,<5L,308
C00107,Customer 107,26-35,Female,Business,<5L,334
C00108,Customer 108,18-25,Male,Business,<5L,525
C00109,Customer 109,18-25,Male,Retired,<5L,552
C00110,Customer 110,18-25,Female,Retired,10L-20L,595
C00111,Customer 111,36-50,Female,Retired,<5L,650
C00112,Customer 112,50+,Male,Salaried,<5L,892
C00113,Customer 113,36-50,Male,Retired,10L-20L,460
C00114,Customer 114,18-25,Male,Retired,<5L,576
C00115,Customer 115,18-25,Female,Business,10L-20L,876
C00116,Customer 116,50+,Female,Retired,5L-10L,451
C00117,Customer 117,18-25,Female,Business,10L-20L,774
C00118,Customer 118,36-50,Male,Salaried,5L-10L,657
C00119,Customer 119,18-25,Female,Salaried,5L-10L,362
C00120,Customer 120,36-50,Female,Professional,<5L,699
C00121,Customer 121,36-50,Female,Retired,10L-20L,750
C00122,Customer 122,26-35,Female,Professional,>20L,417
C00123,Customer 123,26-35,Female,Salaried,>20L,496
C00124,Customer 124,26-35,Male,Retired,<5L,865
C00125,Customer 125,26-35,Female,Business,>20L,421
C00126,Customer 126,36-50,Male,Professional,>20L,900
C00127,Customer 127,50+,Female,Retired,<5L,376
C00128,Customer 128,36-50,Male,Business,<5L,852
C00129,Customer 129,26-35,Male,Retired,>20L,851
C00130,Customer 130,26-35,Female,Salaried,5L-10L,742
C00131,Customer 131,50+,Female,Salaried,5L-10L,677
C00132,Customer 132,26-35,Female,Business,10L-20L,383
C00133,Customer 133,18-25,Female,Retired,10L-20L,846
C00134,Customer 134,36-50,Male,Salaried,10L-20L,474
C00135,Customer 135,26-35,Male,Salaried,<5L,391
C00136,Customer 136,18-25,Female,Salaried,5L-10L,565
C00137,Customer 137,18-25,Female,Business,10L-20L,386
C00138,Customer 138,18-25,Male,Salaried,<5L,789
C00139,Customer 139,18-25,Female,Business,10L-20L,794
C00140,Customer 140,36-50,Female,Professional,>20L,460
C00141,Customer 141,50+,Female,Salaried,<5L,428
C00142,Customer 142,18-25,Female,Professional,>20L,459
C00143,Customer 143,26-35,Female,Business,5L-10L,887
C00144,Customer 144,18-25,Male,Professional,10L-20L,511
C00145,Customer 145,18-25,Female,Professional,<5L,380
C00146,Customer 146,50+,Female,Professional,5L-10L,317
