AlertID,CustomerID,BranchID,Date,AlertType,AlertAmount,RiskRating,Status
A000001,C02280,B001,2023-07-12 0:00:00,CTR,8477444,High,Under Review
A000002,C00490,B007,2024-04-13 0:00:00,Structuring,2549957,High,Closed
A000003,C00466,B001,2024-07-15 0:00:00,Structuring,9282451,High,Closed
A000004,C00732,B006,2024-12-06 0:00:00,IFTR,370654,High,Closed
A000005,C02367,B004,2024-01-05 0:00:00,Suspicious Activity,5656042,Medium,Open
A000006,C00227,B001,2025-02-08 0:00:00,Suspicious Activity,5063471,Low,Under Review
A000007,C02065,B007,2024-10-13 0:00:00,IFTR,2738817,Medium,Under Review
A000008,C00911,B001,2025-02-27 0:00:00,Suspicious Activity,3018772,Low,Closed
A000009,C01145,B004,2025-04-21 0:00:00,Suspicious Activity,7600073,Medium,Under Review
A000010,C02275,B006,2024-01-16 0:00:00,CTR,2709708,Low,Under Review
A000011,C00922,B005,2025-03-12 0:00:00,CTR,5572226,Medium,Closed
A000012,C00157,B004,2024-04-03 0:00:00,Suspicious Activity,7988942,High,Under Review
A000013,C01351,B003,2023-11-03 0:00:00,Suspicious Activity,853182,Medium,Closed
A000014,C00127,B003,2024-03-15 0:00:00,IFTR,2645882,High,Closed
A000015,C02788,B003,2023-06-11 0:00:00,Structuring,6758127,Medium,Closed
A000016,C01573,B008,2023-08-06 0:00:00,Structuring,9633888,Medium,Under Review
A000017,C02945,B007,2023-07-15 0:00:00,Structuring,9496452,Low,Closed
A000018,C01412,B004,2023-04-03 0:00:00,Structuring,2098207,Low,Closed
A000019,C01730,B008,2023-10-26 0:00:00,IFTR,4260680,Medium,Open
A000020,C02466,B003,2025-03-25 0:00:00,CTR,3857061,Medium,Open
A000021,C01054,B006,2024-11-17 0:00:00,IFTR,7776901,Medium,Under Review
A000022,C01921,B007,2024-12-29 0:00:00,IFTR,7216225,Medium,Closed
A000023,C02357,B008,2025-03-14 0:00:00,IFTR,4137442,Medium,Closed
A000024,C01237,B006,2024-05-22 0:00:00,CTR,985710,Medium,Closed
A000025,C01781,B004,2024-04-15 0:00:00,Suspicious Activity,1644059,High,Open
A000026,C01862,B001,2025-05-28 0:00:00,IFTR,7246489,Medium,Closed
A000027,C02500,B001,2025-02-01 0:00:00,Suspicious Activity,6748543,Low,Open
A000028,C01996,B006,2025-11-24 0:00:00,IFTR,6145001,Low,Under Review
A000029,C00343,B003,2025-12-25 0:00:00,CTR,2680819,Low,Open
A000030,C00526,B005,2024-11-13 0:00:00,Suspicious Activity,5756651,Low,Open
A000031,C00713,B004,2023-09-12 0:00:00,Structuring,1427431,High,Open
A000032,C02413,B001,2024-09-29 0:00:00,Suspicious Activity,5980698,High,Closed
A000033,C00636,B007,2025-05-19 0:00:00,Suspicious Activity,6750035,Medium,Open
A000034,C00149,B003,2024-11-11 0:00:00,IFTR,5826803,Low,Under Review
A000035,C02097,B008,2025-02-26 0:00:00,Structuring,7204560,Low,Under Review
A000036,C02983,B007,2024-01-22 0:00:00,Suspicious Activity,713750,High,Under Review
A000037,C02623,B008,2025-12-14 0:00:00,CTR,5321819,High,Closed
A000038,C02503,B002,2023-01-30 0:00:00,IFTR,9714617,High,Closed
