CollectionID,BranchID,Date,TargetAmount,CollectedAmount
COL00001,B004,2023-10-25 0:00:00,854293,856980
COL00002,B002,2023-11-18 0:00:00,3195176,2785440
COL00003,B007,2025-10-13 0:00:00,3682239,3245210
COL00004,B004,2025-04-18 0:00:00,530902,604689
COL00005,B004,2025-10-25 0:00:00,961011,1044609
COL00006,B008,2024-08-16 0:00:00,3147727,2487813
COL00007,B004,2024-07-28 0:00:00,2777278,2867164
COL00008,B007,2025-03-03 0:00:00,3777333,4170742
COL00009,B005,2023-12-03 0:00:00,1153296,1179661
COL00010,B003,2024-12-23 0:00:00,4181880,4340559
COL00011,B004,2024-06-20 0:00:00,4728480,5229886
COL00012,B002,2024-07-06 0:00:00,3288114,3528513
COL00013,B006,2023-08-03 0:00:00,580744,552733
COL00014,B002,2025-02-02 0:00:00,3196543,3623698
COL00015,B006,2023-07-26 0:00:00,3528466,3004689
COL00016,B007,2023-03-06 0:00:00,4832814,4294020
COL00017,B008,2023-12-01 0:00:00,3694030,2797304
COL00018,B002,2025-02-13 0:00:00,2750806,2066368
COL00019,B006,2025-05-24 0:00:00,4600671,3913908
COL00020,B001,2023-01-17 0:00:00,978047,1078794
COL00021,B003,2025-08-27 0:00:00,3526947,3041963
COL00022,B006,2023-04-17 0:00:00,1728386,1499414
COL00023,B007,2023-10-21 0:00:00,602545,473763
COL00024,B003,2025-09-20 0:00:00,3047600,2897442
COL00025,B004,2024-07-06 0:00:00,4165986,4621457
COL00026,B002,2025-11-01 0:00:00,2903853,3119035
COL00027,B007,2023-10-05 0:00:00,3493802,2797333
COL00028,B008,2023-12-24 0:00:00,1835627,1561533
COL00029,B002,2023-06-17 0:00:00,541241,485962
COL00030,B006,2025-10-10 0:00:00,3060376,2626611
COL00031,B005,2024-07-14 0:00:00,1511030,1637699
COL00032,B002,2024-03-30 0:00:00,1320976,1013493
COL00033,B001,2023-06-13 0:00:00,831469,944701
COL00034,B002,2023-08-01 0:00:00,3836213,4379053
COL00035,B007,2025-01-11 0:00:00,4216130,3694873
COL00036,B006,2025-05-03 0:00:00,1214859,1138725
COL00037,B001,2023-04-09 0:00:00,1654211,1666925
COL00038,B005,2025-07-04 0:00:00,1340202,1084122
COL00039,B003,2025-11-20 0:00:00,2060498,1594746
COL00040,B002,2024-06-04 0:00:00,2749414,3015757
COL00041,B006,2025-12-04 0:00:00,2331037,2558508
COL00042,B002,2025-07-04 0:00:00,3615000,3858232
COL00043,B003,2024-07-25 0:00:00,2760472,2426219
COL00044,B003,2024-02-14 0:00:00,4920453,4727549
COL00045,B001,2023-09-26 0:00:00,4357577,3583220
COL00046,B008,2025-06-25 0:00:00,691740,640164
COL00047,B004,2025-10-28 0:00:00,1722016,1698167
COL00048,B008,2025-05-30 0:00:00,4720885,4143735
COL00049,B002,2023-11-26 0:00:00,3381180,3203555
COL00050,B007,2024-01-17 0:00:00,4736354,5090099
COL00051,B008,2025-01-27 0:00:00,4927910,5508088
COL00052,B007,2023-10-21 0:00:00,1633118,1573824
COL00053,B001,2024-07-17 0:00:00,3269836,3660499
COL00054,B008,2024-05-20 0:00:00,4195115,4751602
COL00055,B003,2024-02-25 0:00:00,3838024,3775982
COL00056,B005,2023-09-09 0:00:00,3322274,3455576
COL00057,B002,2024-02-16 0:00:00,1476539,1158203
COL00058,B005,2024-06-27 0:00:00,909933,699518
COL00059,B006,2024-07-03 0:00:00,4874076,4970499
COL00060,B007,2024-02-03 0:00:00,2776252,2716028
COL00061,B005,2025-04-25 0:00:00,4542527,4938155
COL00062,B006,2025-01-03 0:00:00,4643485,4277249
COL00063,B008,2023-08-22 0:00:00,3821090,3697910
COL00064,B005,2025-04-16 0:00:00,1820696,1838571
COL00065,B001,2024-12-03 0:00:00,4151857,3789925
COL00066,B005,2023-09-30 0:00:00,4223337,4744747
COL00067,B005,2024-04-23 0:00:00,1636748,1708276
COL00068,B002,2025-12-04 0:00:00,4534732,4890785
COL00069,B007,2023-02-16 0:00:00,2817258,2275026
COL00070,B003,2023-10-27 0:00:00,2801384,2806216
COL00071,B006,2025-07-03 0:00:00,2111763,1706610
COL00072,B006,2023-09-16 0:00:00,3971237,4270555
COL00073,B002,2024-12-10 0:00:00,1927012,2081219
COL00074,B008,2024-11-24 0:00:00,4614320,4770996
COL00075,B001,2025-08-26 0:00:00,4421131,4770044
COL00076,B001,2023-10-17 0:00:00,3276874,2549888
COL00077,B003,2024-06-30 0:00:00,1326140,1255895
COL00078,B007,2025-08-01 0:00:00,4787034,4705063
COL00079,B004,2024-10-13 0:00:00,4792778,4007561
COL00080,B006,2024-06-14 0:00:00,3375542,3415787
COL00081,B005,2024-09-17 0:00:00,2346941,2133309
COL00082,B003,2023-06-16 0:00:00,3900057,3628021
COL00083,B007,2023-07-15 0:00:00,2387369,1904006
COL00084,B003,2024-03-04 0:00:00,2135224,2109430
COL00085,B004,2025-08-02 0:00:00,2278884,1896996
COL00086,B003,2023-02-23 0:00:00,3162074,3331574
COL00087,B001,2024-01-27 0:00:00,3293014,3019890
COL00088,B003,2023-11-18 0:00:00,3708986,3422704
COL00089,B002,2025-01-02 0:00:00,2857701,2910015
COL00090,B005,2024-09-07 0:00:00,3385176,2865879
COL00091,B002,2024-08-14 0:00:00,2691495,2210300
COL00092,B006,2023-02-24 0:00:00,1159660,1057851
COL00093,B003,2025-01-14 0:00:00,850538,857173
COL00094,B003,2025-02-10 0:00:00,2247607,2109591
COL00095,B001,2025-05-16 0:00:00,2532946,2411671
COL00096,B006,2025-01-23 0:00:00,4519130,3660431
COL00097,B006,2023-05-14 0:00:00,4410495,3696109
COL00098,B008,2024-12-21 0:00:00,3328559,3412505
COL00099,B006,2025-04-13 0:00:00,1943087,1782169
COL00100,B008,2024-12-04 0:00:00,2427194,2155319
COL00101,B002,2023-10-23 0:00:00,2991944,2642326
COL00102,B005,2025-01-07 0:00:00,2945889,3369604
COL00103,B007,2025-01-27 0:00:00,3829613,3634963
COL00104,B003,2023-12-31 0:00:00,1473529,1567190
COL00105,B006,2025-06-30 0:00:00,4318304,4614878
COL00106,B003,2023-01-21 0:00:00,3536988,3912709
COL00107,B005,2025-12-07 0:00:00,4067241,3457015
COL00108,B008,2023-07-16 0:00:00,930762,998885
COL00109,B007,2023-04-22 0:00:00,3373079,2744873
COL00110,B005,2024-04-28 0:00:00,4310774,4008064
COL00111,B006,2023-06-15 0:00:00,1737364,1626256
COL00112,B004,2024-11-15 0:00:00,2782376,2795213
COL00113,B006,2024-12-24 0:00:00,534328,519772
COL00114,B007,2025-07-23 0:00:00,2793295,2876314
COL00115,B004,2023-05-21 0:00:00,3061923,2429401
COL00116,B008,2024-03-19 0:00:00,3467452,3576083
COL00117,B002,2025-11-08 0:00:00,2803759,2633823
COL00118,B006,2025-03-14 0:00:00,1361450,1044560
COL00119,B008,2023-01-05 0:00:00,4611548,4790081
COL00120,B002,2025-10-03 0:00:00,2539862,2121816
COL00121,B008,2024-11-14 0:00:00,1290414,1236492
COL00122,B005,2023-04-17 0:00:00,3998881,3438785
COL00123,B007,2024-06-18 0:00:00,3066227,2886902
COL00124,B006,2025-02-04 0:00:00,1390135,1569534
COL00125,B006,2025-03-26 0:00:00,2947860,3212190
COL00126,B001,2023-01-03 0:00:00,3888900,3850225
