LoanID,CustomerID,BranchID,Product,DisbursementDate,DisbursedAmount,OutstandingBalance,InterestRate,EMI,DelinquentDays,NPAFlag
L000001,C00575,B004,Home Loan,2025-02-19 0:00:00,9346780,4757489,11.36,40469,72,No
L000002,C00217,B007,Auto Loan,2024-11-25 0:00:00,7022751,4573225,7.19,39347,148,Yes
L000003,C01112,B007,Home Loan,2025-10-28 0:00:00,9362699,2693505,14.48,3878,150,Yes
L000004,C01511,B007,Home Loan,2024-04-29 0:00:00,3001780,1927004,14.87,106108,147,Yes
L000005,C02129,B003,Auto Loan,2023-04-24 0:00:00,1726881,1387233,11.48,104598,97,Yes
L000006,C00077,B008,Business Loan,2024-10-19 0:00:00,2813177,1592265,13.56,78770,135,Yes
L000007,C01123,B002,Auto Loan,2024-12-30 0:00:00,4949536,1637713,17.45,89512,9,No
L000008,C02265,B006,Home Loan,2024-05-10 0:00:00,3175592,3159454,14.87,64204,65,No
L000009,C00324,B007,Personal Loan,2023-02-04 0:00:00,1299098,297763,12.06,19692,53,No
L000010,C02907,B008,Auto Loan,2025-11-13 0:00:00,1568604,1086748,15.93,87016,32,No
L000011,C02538,B006,Personal Loan,2023-07-01 0:00:00,8186272,1741822,7.57,81547,125,Yes
L000012,C02341,B001,Auto Loan,2025-08-26 0:00:00,7466961,3948806,13.55,31452,48,No
L000013,C02024,B003,Home Loan,2024-06-23 0:00:00,5240326,1888913,14.36,13200,17,No
L000014,C00325,B005,Business Loan,2024-06-07 0:00:00,3603449,2120832,11.67,111442,111,Yes
L000015,C01821,B002,Home Loan,2025-09-17 0:00:00,5174010,1350424,13.37,52168,13,No
L000016,C00695,B001,Business Loan,2025-12-07 0:00:00,5699490,1370461,9.68,75377,43,No
L000017,C02420,B008,Auto Loan,2023-06-15 0:00:00,3307574,916711,9.96,15947,25,No
L000018,C02718,B006,Auto Loan,2025-09-10 0:00:00,9201879,2051549,13.85,51193,103,Yes
L000019,C01589,B004,Auto Loan,2025-07-25 0:00:00,9440650,4518297,12.47,15536,39,No
L000020,C01329,B007,Auto Loan,2023-07-21 0:00:00,2937372,1605795,16.89,106639,143,Yes
L000021,C01639,B005,Auto Loan,2025-09-27 0:00:00,6911566,1549771,7.68,85566,20,No
L000022,C01475,B005,Auto Loan,2024-09-21 0:00:00,7532514,6005214,13.76,72067,49,No
L000023,C02881,B004,Business Loan,2023-09-12 0:00:00,3251476,1264370,9.48,76729,11,No
L000024,C01311,B007,Auto Loan,2023-08-12 0:00:00,6758381,6405672,12.13,66322,25,No
L000025,C02271,B004,Home Loan,2024-02-24 0:00:00,3714012,1611212,7.7,100014,60,No
L000026,C00391,B002,Auto Loan,2023-12-08 0:00:00,8647345,2313860,13.01,62639,136,Yes
L000027,C01662,B001,Business Loan,2025-02-23 0:00:00,4461858,1607574,17.3,48950,127,Yes
L000028,C00151,B005,Home Loan,2025-08-30 0:00:00,7646192,2664227,12.45,28910,92,Yes
L000029,C00986,B007,Auto Loan,2023-01-25 0:00:00,3943244,3110038,10.6,89734,108,Yes
L000030,C02752,B008,Home Loan,2025-06-09 0:00:00,2130999,493861,12.12,33735,70,No
L000031,C01922,B005,Auto Loan,2024-04-18 0:00:00,3019213,934666,10.14,100289,65,No
L000032,C00792,B002,Personal Loan,2024-02-06 0:00:00,9815276,5580164,8.82,86084,15,No
L000033,C02278,B001,Auto Loan,2024-07-29 0:00:00,690886,644064,7.51,51585,82,No
L000034,C02609,B008,Auto Loan,2025-07-24 0:00:00,7111228,4426840,9.27,109743,137,Yes
L000035,C00210,B008,Home Loan,2025-10-07 0:00:00,4300172,3810942,14.98,96030,72,No
L000036,C02281,B003,Auto Loan,2024-05-05 0:00:00,3099843,1470368,16.47,111182,72,No
L000037,C01707,B001,Business Loan,2025-01-23 0:00:00,2363564,571594,15.4,106785,13,No
L000038,C00841,B005,Personal Loan,2025-03-27 0:00:00,2608199,1196391,11.13,26277,136,Yes
L000039,C02354,B005,Home Loan,2024-06-21 0:00:00,8949760,5411307,15.01,81601,143,Yes
L000040,C01876,B006,Business Loan,2024-10-06 0:00:00,8810141,8344686,17.43,111181,60,No
L000041,C00586,B002,Business Loan,2023-03-02 0:00:00,7171460,5599266,15.12,17995,98,Yes
L000042,C00327,B007,Home Loan,2024-10-24 0:00:00,2588065,2411736,9.66,66045,98,Yes
L000043,C00198,B007,Auto Loan,2024-08-21 0:00:00,1551554,362718,10.39,96560,148,Yes
L000044,C01967,B002,Business Loan,2025-07-18 0:00:00,4857836,2900666,15.56,109209,51,No
L000045,C01129,B006,Business Loan,2023-07-27 0:00:00,9570472,3309803,17.62,16610,45,No
L000046,C01376,B002,Auto Loan,2023-12-06 0:00:00,2034150,869123,17.98,55117,112,Yes
L000047,C01864,B003,Home Loan,2025-08-24 0:00:00,6928479,1886430,13.08,17920,4,No
L000048,C02420,B005,Business Loan,2023-02-13 0:00:00,224800,84997,13.14,66782,2,No
L000049,C02389,B003,Personal Loan,2025-05-31 0:00:00,3448821,990121,15.89,50667,69,No
L000050,C00361,B008,Business Loan,2025-09-26 0:00:00,1725603,1580232,9.93,43739,105,Yes
L000051,C02160,B006,Personal Loan,2025-11-24 0:00:00,3138461,2708873,13.61,54437,46,No
L000052,C02553,B001,Personal Loan,2024-03-30 0:00:00,8056321,4477513,15.21,86544,102,Yes
L000053,C02153,B008,Home Loan,2024-11-27 0:00:00,8316695,2167692,12.6,58471,123,Yes
L000054,C02441,B007,Auto Loan,2025-05-08 0:00:00,5935589,1573450,7.09,83704,70,No
L000055,C00395,B007,Home Loan,2023-05-07 0:00:00,3935792,2425366,11.71,118035,104,Yes
L000056,C00996,B005,Home Loan,2023-01-14 0:00:00,6157783,5901638,7.37,66546,61,No
L000057,C00773,B008,Auto Loan,2023-07-31 0:00:00,2086664,1172775,15.8,23914,70,No
L000058,C00201,B002,Personal Loan,2024-08-14 0:00:00,4581971,3630507,12.36,69210,81,No
L000059,C00208,B005,Auto Loan,2024-08-30 0:00:00,6514779,2515875,15.2,91161,18,No
L000060,C02314,B006,Home Loan,2025-02-13 0:00:00,3715724,1157817,8.35,61357,63,No
L000061,C02670,B004,Personal Loan,2024-02-24 0:00:00,1795839,994659,14.55,30730,85,No
L000062,C02774,B003,Personal Loan,2023-01-07 0:00:00,5968236,3596427,17.8,18561,138,Yes
L000063,C02992,B001,Personal Loan,2023-03-23 0:00:00,6383986,1328418,13.76,103598,64,No
L000064,C00543,B003,Personal Loan,2023-09-23 0:00:00,7710849,1942431,9.95,18277,85,No
L000065,C00536,B002,Personal Loan,2025-12-03 0:00:00,3303392,855606,16.55,54578,10,No
L000066,C01182,B005,Business Loan,2023-08-16 0:00:00,5146266,2187017,11.99,17550,20,No
L000067,C01080,B004,Personal Loan,2023-06-15 0:00:00,8546215,3923597,17.72,10783,96,Yes
L000068,C00347,B008,Auto Loan,2025-07-27 0:00:00,2565055,963212,12.27,94589,69,No
L000069,C01604,B001,Auto Loan,2025-08-12 0:00:00,9238080,2219211,16.76,74914,139,Yes
L000070,C01461,B007,Home Loan,2025-04-28 0:00:00,8367476,7507830,7.12,20399,85,No
L000071,C01699,B006,Home Loan,2024-08-07 0:00:00,230382,137866,11.21,41051,27,No
L000072,C02512,B004,Auto Loan,2025-07-07 0:00:00,8419373,4105899,9.83,53808,6,No
L000073,C01912,B004,Auto Loan,2023-10-07 0:00:00,7174540,3012339,10.94,29584,120,Yes
L000074,C00778,B005,Auto Loan,2024-06-19 0:00:00,9919060,3284297,12.44,63298,27,No
L000075,C00439,B002,Auto Loan,2025-09-23 0:00:00,5440162,4493897,12.53,3278,79,No
L000076,C02543,B001,Personal Loan,2025-08-25 0:00:00,9962468,2514882,13.52,24900,18,No
L000077,C01700,B005,Home Loan,2023-04-26 0:00:00,5789114,1584233,15.14,81609,58,No
L000078,C02031,B005,Auto Loan,2025-08-11 0:00:00,4303425,2305303,16.62,109556,81,No
L000079,C01270,B001,Business Loan,2024-07-12 0:00:00,5716993,5600441,12.85,82586,81,No
L000080,C00725,B004,Home Loan,2024-05-16 0:00:00,1384421,757378,16.77,111576,79,No
L000081,C00563,B007,Auto Loan,2023-07-20 0:00:00,846169,594900,13.27,118022,111,Yes
L000082,C01006,B002,Auto Loan,2025-11-28 0:00:00,1941385,1640472,7.4,118053,11,No
L000083,C01858,B004,Home Loan,2025-03-07 0:00:00,594155,585057,16.47,3345,83,No
L000084,C00596,B005,Home Loan,2024-06-11 0:00:00,8356203,1978244,16.7,75925,82,No
L000085,C00440,B005,Business Loan,2024-04-27 0:00:00,8039806,4710951,17.11,45745,35,No
L000086,C02944,B007,Business Loan,2025-07-21 0:00:00,7233327,4799579,8.9,83282,112,Yes
L000087,C00697,B006,Auto Loan,2025-05-31 0:00:00,4579994,2228405,13.63,78810,111,Yes
L000088,C02409,B006,Auto Loan,2023-05-27 0:00:00,2570832,1205486,13.53,30124,41,No
L000089,C00020,B006,Auto Loan,2023-07-27 0:00:00,408535,262495,9.88,113139,92,Yes
L000090,C01979,B001,Auto Loan,2023-06-30 0:00:00,2865459,1074532,17.79,64104,119,Yes
L000091,C00571,B007,Home Loan,2023-03-26 0:00:00,2517954,1413684,8.88,9603,16,No
