TransactionID,CustomerID,BranchID,Date,Amount,TransactionType,Channel
T0000001,C00644,B001,2023-10-25 0:00:00,1583027,Deposit,Mobile
T0000002,C00228,B006,2023-01-07 0:00:00,408323,Deposit,Branch
T0000003,C01181,B007,2023-01-03 0:00:00,502765,EMI Payment,ATM
T0000004,C00875,B003,2025-06-08 0:00:00,138112,Withdrawal,Mobile
T0000005,C01438,B008,2024-01-13 0:00:00,1923809,Deposit,Branch
T0000006,C02899,B002,2024-02-13 0:00:00,633803,Transfer,ATM
T0000007,C02828,B003,2025-12-03 0:00:00,601792,EMI Payment,Branch
T0000008,C00565,B002,2024-07-11 0:00:00,1758739,EMI Payment,Internet Banking
T0000009,C00563,B006,2025-10-07 0:00:00,1693422,Transfer,Internet Banking
T0000010,C01048,B005,2023-05-21 0:00:00,458843,Withdrawal,Branch
T0000011,C02163,B003,2024-10-30 0:00:00,1981284,Transfer,Mobile
T0000012,C01531,B005,2024-05-20 0:00:00,1721079,EMI Payment,Internet Banking
T0000013,C00124,B001,2025-07-01 0:00:00,703950,Deposit,Branch
T0000014,C02567,B003,2024-04-23 0:00:00,93439,Withdrawal,ATM
T0000015,C01364,B005,2025-02-02 0:00:00,1843626,Transfer,Internet Banking
T0000016,C02992,B001,2025-06-22 0:00:00,1588556,Deposit,Mobile
T0000017,C00906,B004,2024-03-24 0:00:00,871562,Deposit,Internet Banking
T0000018,C00002,B002,2025-07-20 0:00:00,970682,Deposit,Mobile
T0000019,C00912,B002,2023-03-15 0:00:00,1819267,Deposit,Internet Banking
T0000020,C02504,B008,2025-03-03 0:00:00,405167,Transfer,Internet Banking
T0000021,C01353,B001,2025-01-26 0:00:00,1590043,Withdrawal,Mobile
T0000022,C00107,B002,2025-06-04 0:00:00,1221282,Transfer,Mobile
T0000023,C00115,B006,2024-12-16 0:00:00,1622977,Deposit,Mobile
T0000024,C01569,B004,2023-03-26 0:00:00,1046413,Deposit,Branch
T0000025,C02151,B002,2025-09-25 0:00:00,1682340,EMI Payment,Mobile
T0000026,C00395,B008,2023-09-26 0:00:00,1534992,Deposit,ATM
T0000027,C02746,B001,2025-06-17 0:00:00,1447107,Transfer,Internet Banking
T0000028,C01566,B005,2024-01-08 0:00:00,279614,Withdrawal,Mobile
T0000029,C01328,B008,2023-03-18 0:00:00,1932336,EMI Payment,ATM
T0000030,C02276,B008,2023-06-16 0:00:00,1595146,Withdrawal,Mobile
T0000031,C01480,B003,2025-12-12 0:00:00,1970107,EMI Payment,Internet Banking
T0000032,C02809,B004,2023-12-11 0:00:00,1292724,Withdrawal,ATM
T0000033,C01830,B007,2023-06-20 0:00:00,83744,Deposit,Mobile
T0000034,C01250,B007,2024-11-21 0:00:00,1603247,Deposit,ATM
T0000035,C00194,B002,2024-12-13 0:00:00,138153,EMI Payment,Mobile
T0000036,C02407,B002,2024-11-22 0:00:00,882620,Withdrawal,Mobile
T0000037,C00709,B007,2024-06-18 0:00:00,1963715,Withdrawal,Internet Banking
T0000038,C00735,B002,2024-10-22 0:00:00,964625,Transfer,Branch
T0000039,C02820,B007,2023-09-20 0:00:00,943772,Withdrawal,ATM
T0000040,C02693,B006,2024-05-17 0:00:00,1884936,Transfer,Mobile
T0000041,C01473,B008,2024-08-06 0:00:00,50159,Withdrawal,ATM
T0000042,C01467,B001,2024-06-14 0:00:00,1658176,EMI Payment,Branch
T0000043,C02271,B003,2024-12-04 0:00:00,533023,Withdrawal,ATM
T0000044,C00845,B007,2025-09-26 0:00:00,690081,Transfer,ATM
T0000045,C00162,B001,2024-03-01 0:00:00,595213,Deposit,Branch
T0000046,C01740,B003,2023-03-11 0:00:00,1548725,Deposit,Mobile
T0000047,C02739,B004,2023-07-03 0:00:00,1349232,Transfer,ATM
